course_id,course_title,description,skills,difficulty,rating,url,source
11,Migrating to Cloud SQL from Amazon RDS for MySQL Using Database Migration Service,"This is a self-paced lab that takes place in the Google Cloud console.

In this lab, you migrate MySQL data from an Amazon RDS instance for MySQL to Cloud SQL for MySQL using a one-time Database Migration Service job and an IP allowlist for connectivity. After you create and run the migration job, you confirm that the data have been successfully migrated to your Cloud SQL for MySQL instance.","IT, Systems, Networking, Cloud Computing; IT, Systems, Networking, Data Management",Intermediate,0.0,https://www.coursera.org/learn/googlecloud-migrating-to-cloud-sql-from-amazon-rds-for-mysql-using-databas-lyazm,Coursera
12,Vital Signs: Understanding What the Body Is Telling Us,"The vital signs – heart rate, blood pressure, body temperature, respiration rate, and pain – communicate important information about the physiological status of the human body. In this six-part course we explore the anatomy and physiology underlying the vital signs so that you will develop a systematic, integrated understanding of how the body functions. Relevant body systems are reviewed including cardiovascular and respiratory, followed by explanations of how the function of these systems affects vital signs. We discuss normal ranges, normal variants, and the mechanisms that underlie changes in the objective measurement of vital signs. The course also includes demonstrations of appropriate techniques for measuring vital signs in yourself and others.

The course is designed for a broad, general audience but will be particularly interesting for individuals working in healthcare, those considering a career as a healthcare professional, lay caregivers, those with an interest in personal health and fitness, or anyone who simply wants to understand how the body functions.","Life Sciences, Patient Care",Intermediate,0.0,https://www.coursera.org/learn/vital-signs,Coursera
13,FinTech Disruptive Innovation: Implications for Society,"This course “FinTech Disruptive Innovation: Implications for Society” help you understand how disruptive innovations create opportunity in finance industry and its impact to society especially your career. You would be able to examine and analyse how FinTech innovations would affect companies that relates to FinTech services and how it might affect your career in finance.

You will learn about how peer to peer lending disrupt finance industry in different countries, the diversity of impact by FinTech in the comparison of East vs West, Big firms vs Small firms, and different generations etc., how to predict FinTech trends in different markets, and finally what you should do to pursue your career and secure your position in FinTech industry.","Business, Management, Finance; Business, Management, Business Strategy",Intermediate,0.0,https://www.coursera.org/learn/fintech-disruption,Coursera
14,Develop Code with Gemini in BigQuery,"This is a self-paced lab that takes place in the Google Cloud console. In this lab you learn how to use Gemini code generation, explanation and suggestions in BigQuery.","IT, Systems, Networking, Cloud Computing; Data Science, Machine Learning, Data Analysis",Intermediate,0.0,https://www.coursera.org/learn/googlecloud-develop-code-with-gemini-in-bigquery-l6l2o,Coursera
15,The Linux Essentials,"This course features Coursera Coach!

A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

In this course, you'll embark on a journey through the world of Linux, gaining foundational knowledge to navigate and manage Linux operating systems. From understanding the history and usage of Linux to mastering essential command-line operations, this course will provide you with a strong base to begin your Linux journey. You'll also dive into Linux distributions, comparing popular versions like Ubuntu, CentOS, and Debian, and learn the nuances of installing and configuring them.
As you progress, you'll explore using Linux’s powerful CLI (Command Line Interface) for tasks such as file management, software installation, networking, and scripting. You’ll learn how to manage networks, secure systems, and administer user accounts, empowering you to configure, manage, and secure Linux systems with confidence.
The course is designed for beginners who want to start from the basics, progressing to more advanced Linux administration tasks. Whether you’re interested in IT, system administration, or development, this course will provide a solid foundation for managing Linux environments. No prior experience with Linux is required.","IT, Systems, Networking, Support And Operations; IT, Systems, Networking, Security",Intermediate,0.0,https://www.coursera.org/learn/packt-the-linux-essentials-yafiq,Coursera
16,Get Started with iOS App Development,"In a world increasingly dominated by mobile technologies, the demand for mobile app developers continues to be at an all-time high. Apple’s thriving business and enduring popularity of iPhone apps emphasize this trend. Whether you’re a beginner eager to make strides in this field or a seasoned developer seeking to upskill, mastering iOS app development is essential to succeed in this competitive market.  

This course will introduce you to the essential components, features, tools, and concepts for developing iOS apps. You will explore Xcode, its interface, and key features. You will also gain insight into the features and concepts of Swift and SwiftUI. Finally, you will develop basic iOS apps using the skills you learned throughout the course.    

The hands-on learning offered in this course will further equip you with a solid foundation for developing iOS apps.

You will require a macOS laptop or desktop to complete the hands-on labs and project. This micro-course, which will only take a few hours to complete, is suitable for beginners and experienced developers and requires no prior programming experience.

So, enroll today to gain the practical experience employers seek and prepare to take your career to new heights!","Computer Science, Programming, Mobile And Web Development; Computer Science, Programming, Software Development",Intermediate,0.0,https://www.coursera.org/learn/get-started-with-ios-app-development,Coursera
17,Create Amazing Macros in Affinity Photo,"Ready to save time and supercharge your photo editing workflow? In this course, taught by Ally, the creator of Affinity Revolution, you’ll learn how to create powerful, high-quality macros in Affinity Photo—perfect for applying complex edits with a single click.

By the end of this course, you’ll be able to:
* Build your own custom macros for color correction, retouching, and effects
* Automate repetitive editing tasks to streamline your creative process
* Batch process multiple images using Affinity’s Library and Macro tools

Whether you’re a photographer, designer, or creative hobbyist, this course is for anyone looking to boost efficiency without sacrificing quality. You’ll gain instant access to 30 professionally designed macros and learn exactly how each one was made—so you can start editing faster and smarter right away.

To be successful in this course, you should have a working knowledge of Affinity Photo’s interface and basic editing tools. If macros are new to you, get ready—they’re fun, practical, and a game-changer for your workflow.

Join Affinity Revolution and discover the power of macros in Affinity Photo!

Instructor bio:
Ally, the creator of Affinity Revolution, has been teaching people how to use the Affinity creative suite since 2016. Through her easy-to-follow tutorials on Affinity Photo, Designer, and Publisher, she focuses on delivering maximum value in minimal time—making complex tools feel simple and approachable. Ally knows that learning Affinity can feel overwhelming at first, but with her step-by-step guidance, you’ll quickly gain confidence and master the skills to bring your creative projects to life.","Arts, Humanities, Music And Art; Computer Science, Programming, Design And Product",Intermediate,0.0,https://www.coursera.org/learn/create-amazing-macros-in-affinity-photo,Coursera
18,Inteligencia Artificial Generativa para Docentes,"Este curso está dirigido a docentes, formadores y profesionales de la educación que buscan integrar la inteligencia artificial generativa en su enseñanza para mejorar la planificación, evaluación y personalización del aprendizaje. No se requieren conocimientos previos en IA.

Transforma tu enseñanza con IA Generativa

Al finalizar este curso, serás capaz de aplicar herramientas de IA generativa para optimizar tu enseñanza, diseñar estrategias innovadoras y mejorar la evaluación de los estudiantes. Aprenderás a crear materiales interactivos, planificar clases con mayor eficiencia y fomentar el pensamiento crítico en los alumnos mediante el uso responsable de la IA.

Este curso es único porque combina un enfoque práctico con las últimas tendencias en inteligencia artificial aplicada a la educación. No solo conocerás los fundamentos teóricos, sino que también pondrás en práctica lo aprendido con actividades diseñadas para fortalecer tu competencia digital como docente.","Social Sciences, Education; IT, Systems, Networking, Cloud Computing",Intermediate,0.0,https://www.coursera.org/learn/inteligencia-artificial-generativa-para-docentes,Coursera
19,"Inventory Management: Analyze, Optimize & Control","By the end of this course, learners will be able to identify the fundamentals of inventory management, calculate and apply Economic Order Quantity (EOQ), classify items using ABC Analysis, evaluate procurement processes, and compare valuation methods such as FIFO, LIFO, and Average Cost. The course equips participants with practical tools to maintain optimal stock levels, minimize costs, and improve operational efficiency.

This course benefits professionals, students, and entrepreneurs by linking theoretical concepts with real-world applications—helping them make informed decisions about ordering, safety stock, supplier evaluation, and Just-In-Time (JIT) practices. Unlike basic introductions, this course uniquely combines stock level controls, EOQ models, and valuation techniques into one structured program. Learners gain a holistic understanding of how inventory impacts cost efficiency, financial reporting, and supply chain performance.

With structured modules, practice quizzes, and graded assessments, this course ensures that participants not only understand concepts but also build the analytical skills needed for effective inventory control.","Business, Management, Business Essentials",Intermediate,0.0,https://www.coursera.org/learn/inventory-management-analyze-optimize-control,Coursera
20,Modern Art & Ideas,"Modern Art & Ideas is designed for anyone interested in learning more about modern and contemporary art. You will look at art through a variety of themes, including Places and Spaces, Art and Identity, Transforming Everyday Objects, and Art and Society. 

Each week kicks off with a video that connects key works of art to the theme. You’ll also have access to interviews with artists, designers, and others who speak about their materials, processes, and sources of inspiration. Through the discussion forum prompts you will also have the opportunity to connect with other learners and explore how these themes resonate with you.","Arts, Humanities, Music And Art",Intermediate,0.0,https://www.coursera.org/learn/modern-art-ideas,Coursera
21,Brand Identity and Vector Graphics,"This course develops graphic designs skills using Adobe IIllustrator and design sensibilities through effective feedback integration and iterative design processes. Learn to leverage constructive criticism to refine your work, experiment with diverse approaches, and ultimately achieve design excellence.

By the end of this course, you'll be able to: 

• Develop skills in creating visually appealing compositions using Adobe Illustrator.
• Create logos and corporate symbols that effectively represent a brand.
• Design brand identity materials, ensuring consistency across all design elements.
• Complete a final project that demonstrates the ability to create cohesive visual design and branding materials for a video game using Adobe Illustrator.

This is an introduction course, intended for aspiring graphic designers who want to gain essential skills in Adobe Illustrator and learn how to create professional-quality logos and branding materials, graphic designers seeking to specialize in branding, and anyone wanting to learn how to visually represent brands effectively and create consistent brand messaging across various platforms. To succeed in this course, you should have basic literacy, familiarity with basic design principles, and access to Adobe Illustrator.","Business, Management, Marketing; Business, Management, Business Strategy",Intermediate,0.0,https://www.coursera.org/learn/xbox-brand-identity-and-vector-graphics,Coursera
22,The Evolving Universe,"This is an introductory astronomy survey class that covers our understanding of the physical universe and its major constituents, including planetary systems, stars, galaxies, black holes, quasars, larger structures, and the universe as a whole.","Engineering, Physics, Physics And Astronomy",Intermediate,0.0,https://www.coursera.org/learn/evolvinguniverse,Coursera
23,CyberSec First Responder (CFR-310),"Updated in May 2025.
 
This course now features Coursera Coach!
 
A smarter way to learn with interactive, real-time conversations that help you test your knowledge, challenge assumptions, and deepen your understanding as you progress through the course.

In this course, you’ll gain the foundational knowledge needed to respond effectively to cybersecurity incidents. You will be introduced to the key elements of identifying and analyzing cyber threats, attacks, and vulnerabilities. Throughout the course, you'll develop the skills to assess the security posture of a network and prepare a response to potential incidents. By the end, you'll have a comprehensive understanding of the cybersecurity landscape, empowering you to safeguard and protect organizational systems.

The course begins with an in-depth exploration of the different types of cyber threats and actors, as well as the common attack vectors they use. You will learn how attacks are structured, their motives, and the impact they may have on businesses and individuals. In addition to understanding the threats, you'll delve into tools and techniques for vulnerability scanning, penetration testing, and network and system reconnaissance, all critical for identifying weaknesses before an attack happens.

As you progress, the course will focus on gaining access through various attack techniques, including web app scanning, social engineering, and wireless attacks. You will also dive deeper into post-exploitation tactics such as data exfiltration, pivoting, lateral movement, and maintaining persistence. Equipped with these skills, you'll be able to recognize when an attack is underway and respond appropriately.

This course is ideal for aspiring cybersecurity professionals or those looking to enhance their skills in incident response. It’s designed for individuals with a basic understanding of IT concepts, and while no advanced technical knowledge is required, familiarity with networking and security basics will help you excel. The course is structured to build both theoretical understanding and practical skills for dealing with cyber threats.","Computer Science, Programming, Computer Security And Networks; IT, Systems, Networking, Security",Intermediate,0.0,https://www.coursera.org/learn/packt-cybersec-first-responder-cfr-310-x6eph,Coursera
24,Use SurveyMonkey to Create a Survey and Analyze Results,"In this project, we will walk through the survey making process and explore the many ways that SurveyMonkey streamlines and simplifies data collection. We will learn how the program is organized and how it operates, helping you feel comfortable and confident enough to create your own survey to meet your own individual needs.

SurveyMonkey is a cloud based survey software which allows its users to create online surveys for free. SurveyMonkey can help move a business in the right direction by collecting the opinions and thoughts of their employees, shareholders, customers, or any other invested group of individuals. After creating a survey with SurveyMonkey, you can easily email them to your target audience or post them on social media. The question templates provided by SurveyMonkey make creating a professional and thorough survey quick and easy. Its user friendly features and detailed options allow amateurs and marketing gurus alike to create the perfect survey to meet their needs. 

Note: This course works best for learners who are based in the North America region. We’re currently working on providing the same experience in other regions.","Business, Management, Marketing; Business, Management, Business Essentials",Intermediate,0.0,https://www.coursera.org/learn/create-survey-analyze-results-with-surveymonkey,Coursera
25,Star Schemas & Track Changes,"Transform your data architecture skills with advanced dimensional modeling techniques that power enterprise-grade analytics systems. This course empowers data professionals to master the critical intersection of historical data tracking and dimensional model optimization.

This Short Course was created to help data analysts accomplish sophisticated data warehouse design that maintains data integrity while maximizing query performance. By completing this course, you'll be able to implement robust historical tracking mechanisms and systematically optimize dimensional models for better business intelligence outcomes.

By the end of this course, you will be able to:
Apply Type-2 slowly changing dimension techniques to preserve complete data history
Evaluate star schema structures and identify performance bottlenecks
Propose specific refinements that improve both analytical capabilities and query efficiency

This course is unique because it bridges the gap between theoretical dimensional modeling and practical implementation, providing hands-on experience with industry-standard tools like dbt and LookML that you'll use in real-world data engineering projects.

To be successful in this project, you should have a background in SQL, basic data modeling concepts, and familiarity with data warehouse fundamentals.   (It is possible)","Data Science, Machine Learning, Data Analysis; IT, Systems, Networking, Data Management",Intermediate,0.0,https://www.coursera.org/learn/star-schemas--track-changes,Coursera
26,Performing Data Aggregation using SQL Aggregate Functions,"In this 2-hour long project-based course, you will learn how to retrieve data from tables in a database using SQL SELECT statement with SQL Aggregate functions. The aggregate functions we will consider in this project are COUNT, SUM, MIN, MAX and AVG. Aggregate functions are used to summarize data from rows of a table into a single value. In addition, you will learn how to set conditions on the output of an aggregate function using the HAVING clause. Finally, you will learn how to tidy up the result set of aggregate functions using the ROUND function.

Note: You do not need to be a data administrator or data analyst to be successful in this guided project, just a familiarity with querying databases using SQL SELECT statement suffice for this project. If you are not familiar with SQL and want to learn the basics, start with my previous guided projects titled “Performing Data definition and Manipulation in SQL.""  and “Querying Databases using SQL SELECT statement”","Data Science, Machine Learning, Data Analysis; IT, Systems, Networking, Data Management",Intermediate,0.0,https://www.coursera.org/learn/performing-data-aggregation-using-sql-aggregate-functions,Coursera
27,Inteligencia Artificial para personajes en Unreal Engine,"Este curso está dedicado principalmente a estudiantes universitarios de primer y segundo año interesados en ciencia e ingeniería, junto con estudiantes de secundaria y profesionales interesados en programación.","Computer Science, Programming, Software Development",Intermediate,0.0,https://www.coursera.org/learn/inteligencia-artificial-para-personajes-en-unreal-engine,Coursera
28,Advancing Mask Technology for Semiconductors,"This is a comprehensive course designed to deepen your understanding of semiconductor mask technology, a critical component in the miniaturization and efficiency of electronic devices. Throughout this course, you'll explore fundamental concepts, advanced techniques, and practical applications of mask design and fabrication processes, equipping you with the skills necessary to excel in semiconductor manufacturing.

This course is tailored for engineers, technologists, and professionals involved in semiconductor manufacturing and design. It is also suitable for individuals interested in advanced fabrication processes and those aiming to deepen their expertise in semiconductor mask technology.

Participants should have a basic understanding of semiconductor technology, including manufacturing processes and device physics. Familiarity with mask design principles, CAD tools, photolithography, etching, deposition, doping techniques, and cleanroom protocols is recommended. Knowledge of semiconductor device technologies such as CMOS, BJT, and GaN, as well as quality control methods in semiconductor fabrication, will be beneficial.

By the end of this course, you will be able to explain the fundamental principles of semiconductor mask design, apply advanced lithography and fabrication techniques, optimize mask performance for improved manufacturing quality, and implement yield enhancement strategies in semiconductor production. These competencies will empower you to address complex fabrication challenges and stay abreast of the latest advancements in mask technology.","Engineering, Physics, Electrical Engineering; Engineering, Physics, Mechanical Engineering",Intermediate,0.0,https://www.coursera.org/learn/advancing-mask-technology-for-semiconductors,Coursera
29,Developing AI Policy,"AI tools are already changing how we work, and they will continue to do so for years. Over the next few years, we’re likely going to see AI used in ways we’ve never imagined and are not anticipating. This course will guide you as you lead your organization to adopt AI in a way that’s not unethical, illegal, or wrong. This course empowers you to make informed decisions and confidently create an AI policy that matches your organizational goals.

Unique Features of this Course

- Broadly applicable to audiences of any field
- Efficient yet effective overview of major AI policy concerns
- Beginner friendly for those who want to get started using generative AI tools
- Practical tips for how to develop an AI policy and advisory team
- Real-world examples of how industry regulations around AI have changed

Key Words

Artificial Intelligence (AI), Policy, Generative AI, Large Language Models (LLMs),  Data Science

Intended Audience

- Professionals looking for an introduction to AI policies and general regulations
- Decision makers who may have to help write AI policies or determine how AI will be used at an institute
- Anyone curious about how we can use AI more responsibly","Data Science, Machine Learning, Machine Learning; Computer Science, Programming, Software Development",Intermediate,0.0,https://www.coursera.org/learn/developing-ai-policy,Coursera
30,Adobe Dreamweaver CC (2017): Part 1,"Adobe® Dreamweaver® CC (2017) focuses on some of the basic features of Dreamweaver so that students can navigate the environment and use Dreamweaver tools to build websites. Dreamweaver is used by a variety of professionals, such as web developers, web designers, graphic designers, and other professionals; Adobe® Dreamweaver® CC (2017): Part 1 will focus on the tools necessary to build a functional website.

This course is a great component of your preparation for the Adobe Certified Expert (ACE) Dreamweaver CC exam and the Adobe Certified Associate (ACA) Web Authoring Using Adobe Dreamweaver CC exam.

This course is designed for those tasked to create or maintain a website. It will also be valuable for web designers, web developers, and graphic designers who want to extend their skills in creating websites by using a visually based design tool for speed and ease of use.

In this course, you will: identify Dreamweaver uses and advantages, including new features, and manipulate the interface; create a new site in Dreamweaver; create a lay out a basic page and add text; style text and containers with CSS; insert images; create and style links; create tables to store data; and upload your site.

This course requires that you have Adobe Dreamweaver installed on a Windows PC. The course setup instructions provided in the first module of the course go into more detail about the hardware and software requirements.","Computer Science, Programming, Design And Product; Computer Science, Programming, Mobile And Web Development",Intermediate,0.0,https://www.coursera.org/learn/adobe-dreamweaver-cc-2017-lo092005,Coursera
31,GenAI for Talent Acquisition: Smarter Candidate Screening,"In this course, you’ll discover how GenAI-powered tools can transform candidate screening by automating repetitive tasks, enhancing evaluations, and ensuring ethical hiring decisions. Through hands-on experience with custom GPTs, Gemini Gems, Power Automate, and AI-driven workflows, you’ll learn to optimize hiring processes, reduce bias, and improve decision-making.

This course is designed for HR professionals, recruiters, talent acquisition specialists, and workforce strategists who want to leverage Generative AI for smarter, faster candidate screening. It’s also ideal for business analysts and operations managers seeking to optimize hiring workflows using AI-powered solutions. Whether you’re looking to automate resume parsing, enhance candidate assessments, or streamline your recruitment process, this course provides practical tools and strategies to elevate your talent acquisition game.

To succeed in this course, you should have a basic understanding of HR processes, particularly in recruitment and candidate screening. Familiarity with Generative AI tools like ChatGPT, Google Gemini, or similar platforms will be beneficial, but no programming or technical expertise is required—just a willingness to explore AI-driven hiring solutions and experiment with automation tools.

By the end of this course, you will have the skills and confidence to integrate Generative AI into your candidate screening processes, making recruitment smarter, faster, and more efficient. You’ll know how to craft AI-driven prompts, automate screening workflows, and mitigate bias, ensuring ethical and effective hiring decisions. Whether you’re looking to reduce manual workload, improve candidate evaluations, or enhance decision-making, you now have the tools to leverage AI responsibly and strategically in talent acquisition.","Data Science, Machine Learning, Machine Learning; Data Science, Machine Learning, Probability And Statistics",Intermediate,0.0,https://www.coursera.org/learn/genai-for-talent-acquisition-smarter-candidate-screening,Coursera
32,Оценка облигаций,"В этом курсе-проекте продолжительностью 1 час вы получите следующие навыки: расчет текущей ставки и текущей цены бонда, расчет доходности к погашению бонда, расчет дюрации Маколея.

Примечание. Этот курс изначально создан для учащихся из Северной Америки. На данный момент мы адаптируем его и для других регионов.","Business, Management, Finance; Business, Management, Business Essentials",Intermediate,0.0,https://www.coursera.org/learn/bonds-fixed-income-mathematics-ru,Coursera
33,Machine Learning in the Enterprise - Français,"Ce cours présente une approche pratique du workflow de ML avec une étude de cas dans laquelle une équipe est confrontée à plusieurs exigences métier et cas d'utilisation de ML. Cette équipe doit comprendre quels outils sont nécessaires pour gérer et gouverner les données, et trouver la meilleure approche pour les prétraiter.

On présente à cette équipe trois options de création de modèles de ML pour deux cas d'utilisation spécifiques. Ce cours explique pourquoi l'équipe tire parti des avantages d'AutoML, de BigQuery ML ou de l'entraînement personnalisé pour atteindre ses objectifs.","Data Science, Machine Learning, Machine Learning; IT, Systems, Networking, Cloud Computing",Intermediate,0.0,https://www.coursera.org/learn/machine-learning-in-enterprise-fr,Coursera
34,Consulting Presentations and Storytelling,"This is the #5 course in the specialization on management consulting. In the previous 4 courses, we’ve learned how consultants break down problems with tools and logical thinking. Now, it’s time to bring all the parts together into consulting-quality presentations and deliverables. Every consulting project is different, and yet, the final presentation will have many of the same elements:
•	Clear alignment among the stakeholders on the project goals
•	Understanding on the consulting approach, assumptions, and decisions
•	Thoughtful progression of ideas that “brings the audience along”
•	Well-constructed PowerPoint slides (or excel model) which tell a clear story
•	Impactful use of graphs, tables, data visualization
•	Persuasive and authoritative delivery style","Business, Management, Business Strategy; Business, Management, Leadership And Management",Intermediate,0.0,https://www.coursera.org/learn/management-consulting-presentations,Coursera
35,إختيار الهدف المثالي للحملات الإعلانية على Facebook,"مع نهاية المشروع ده، هتقدر تختار الobjective الافضل للحملة الإعلانية بتاعتك على Facebook باستخدام ال-Ads Manager على Facebook Business Manager. على مدار المشروع، هتقدر تحدد ,  تفرق بين, و تستخدم   ال١١ نوع المختلفين للobjectives الخاصة بحملات Facebook والفرق بينهم.

ده هيساعدك أنك بسهولة تحدد الهدف الصحيح للحملة الإعلانية اللي الbrand بتاعتك محتاجاها على Facebook .

المشروع  ده للمستوي المتوسط اللي يعرف ازاي يستخدم Facebook Ads Manager عشان يعمل إعلانات ممولة لكن لسة مش عارف إيه الأهداف اللي المفروض يختار منها وهو بيعمل الحملة الإعلانية.

هنا هنستخدم الFacebook Business Manager اللي بنعتبره الركن الأساسي للbusiness لFacebook  المنصة دي بتساعدك تعمل إعلانات,تحللها وتحدد مين الجمهور المناسب وكمان تحط معلومات الـ Business بتاعك علي صفحاتك.

لما بتشغل الإعلانات من خلال الFacebook Business Manager ده بيكون أفضل كمنصة من أنك مجرد ت boost الإعلان مباشرة من خلال الFacebook  وده لأنه بيفتحلك objectives و معلومات كتير قيمة تساعدك في نجاح الحملة الإعلانية بأحسن وأسهل طريقة ممكنة.","Business, Management, Marketing; Business, Management, Business Essentials",Intermediate,0.0,https://www.coursera.org/learn/iikhtiar-alhadaf-almithalii-lilhamalat-aliielaniat-ealaa-facebook,Coursera
